Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	4.0061e-003
6	2.3167e-002
7	5.7152e-002
8	0.1048
9	0.16458
10	0.23489
11	0.31406
12	0.40043
13	0.49236
14	0.58823
15	0.68647
16	0.78555
17	0.88399
18	0.9804
19	1.0734
20	1.1618
21	1.2444
22	1.3201
23	1.3879
24	1.447
25	1.4964
26	1.5357
27	1.5641
28	1.5813
29	1.5869
30	1.5807
31	1.5626
32	1.5326
33	1.4908
34	1.4376
35	1.3732
36	1.2981
37	1.2129
38	1.1182
39	1.0149
40	0.90367
41	0.78548
42	0.6613
43	0.53216
44	0.39914
45	0.26337
46	0.126
47	-1.1818e-002
48	-0.14889
49	-0.28404
50	-0.4161
51	-0.54392
52	-0.66639
53	-0.78244
54	-0.89102
55	-0.99118
56	-1.082
57	-1.1627
58	-1.2324
59	-1.2906
60	-1.3365
61	-1.3699
62	-1.3902
63	-1.3972
64	-1.3906
65	-1.3705
66	-1.3368
67	-1.2897
68	-1.2294
69	-1.1561
70	-1.0703
71	-0.97246
72	-0.86317
73	-0.74304
74	-0.61277
75	-0.47312
76	-0.32486
77	-0.16884
78	-5.8862e-003
79	0.16313
80	0.33737
81	0.51597
82	0.69814
83	0.8831
84	1.0701
85	1.2586
86	1.448
87	1.6378
88	1.8277
89	0.
90	2.0175
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	4.0061e-003
99	2.3167e-002
100	5.7152e-002
101	0.1048
102	0.16458
103	0.23489
104	0.31406
105	0.40043
106	0.49236
107	0.58823
108	0.68647
109	0.78555
110	0.88399
111	0.9804
112	1.0734
113	1.1618
114	1.2444
115	1.3201
116	1.3879
117	1.447
118	1.4964
119	1.5357
120	1.5641
121	1.5813
122	1.5869
123	1.5807
124	1.5626
125	1.5326
126	1.4908
127	1.4376
128	1.3732
129	1.2981
130	1.2129
131	1.1182
132	1.0149
133	0.90367
134	0.78548
135	0.6613
136	0.53216
137	0.39914
138	0.26337
139	0.126
140	-1.1818e-002
141	-0.14889
142	-0.28404
143	-0.4161
144	-0.54392
145	-0.66639
146	-0.78244
147	-0.89102
148	-0.99118
149	-1.082
150	-1.1627
151	-1.2324
152	-1.2906
