Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.6564e-002
6	-0.10511
7	-0.22008
8	-0.36082
9	-0.51899
10	-0.68798
11	-0.86241
12	-1.0378
13	-1.2104
14	-1.377
15	-1.5347
16	-1.6814
17	-1.8148
18	-1.9333
19	-2.0353
20	-2.1196
21	-2.1852
22	-2.2314
23	-2.2575
24	-2.2633
25	-2.2486
26	-2.2135
27	-2.1583
28	-2.0834
29	-1.9895
30	-1.8775
31	-1.7483
32	-1.6032
33	-1.4434
34	-1.2704
35	-1.0858
36	-0.89131
37	-0.68864
38	-0.47967
39	-0.26632
40	-5.0529e-002
41	0.16572
42	0.38045
43	0.5917
44	0.79753
45	0.99606
46	1.1855
47	1.364
48	1.5301
49	1.6822
50	1.8189
51	1.9389
52	2.0412
53	2.1248
54	2.189
55	2.2331
56	2.2568
57	2.2598
58	2.2422
59	2.204
60	2.1456
61	2.0676
62	1.9707
63	1.8557
64	1.7238
65	1.576
66	1.4137
67	1.2385
68	1.0519
69	0.85565
70	0.65143
71	0.44113
72	0.22664
73	9.8525e-003
74	-0.2073
75	-0.42292
76	-0.63516
77	-0.84222
78	-1.0424
79	-1.2342
80	-1.416
81	-1.5869
82	-1.7456
83	-1.8916
84	-2.0246
85	-2.1446
86	-2.2521
87	-2.3487
88	-2.4363
89	0.
90	-2.5183
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.6564e-002
99	-0.10511
100	-0.22008
101	-0.36082
102	-0.51899
103	-0.68798
104	-0.86241
105	-1.0378
106	-1.2104
107	-1.377
108	-1.5347
109	-1.6814
110	-1.8148
111	-1.9333
112	-2.0353
113	-2.1196
114	-2.1852
115	-2.2314
116	-2.2575
117	-2.2633
118	-2.2486
119	-2.2135
120	-2.1583
121	-2.0834
122	-1.9895
123	-1.8775
124	-1.7483
125	-1.6032
126	-1.4434
127	-1.2704
128	-1.0858
129	-0.89131
130	-0.68864
131	-0.47967
132	-0.26632
133	-5.0529e-002
134	0.16572
135	0.38045
136	0.5917
137	0.79753
138	0.99606
139	1.1855
140	1.364
141	1.5301
142	1.6822
143	1.8189
144	1.9389
145	2.0412
146	2.1248
147	2.189
148	2.2331
