Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	1.1103e-003
6	2.5812e-003
7	2.7242e-003
8	2.6724e-003
9	2.433e-003
10	2.2286e-003
11	2.0357e-003
12	1.804e-003
13	1.5586e-003
14	1.2714e-003
15	9.4186e-004
16	5.9321e-004
17	2.9435e-004
18	9.878e-005
19	-3.7317e-005
20	-3.6469e-005
21	6.4002e-005
22	2.225e-004
23	4.3959e-004
24	5.0126e-004
25	4.1762e-004
26	2.5677e-004
27	-2.1129e-005
28	-3.9615e-004
29	-7.1887e-004
30	-9.5879e-004
31	-1.117e-003
32	-1.0934e-003
33	-8.4244e-004
34	-4.5329e-004
35	7.7669e-005
36	5.8757e-004
37	9.8902e-004
38	1.2775e-003
39	1.4145e-003
40	1.3443e-003
41	1.105e-003
42	8.1243e-004
43	5.2558e-004
44	2.6907e-004
45	9.1841e-005
46	1.3067e-004
47	3.2563e-004
48	6.2594e-004
49	9.8179e-004
50	1.4116e-003
51	1.8115e-003
52	2.1307e-003
53	2.2659e-003
54	2.1858e-003
55	1.8992e-003
56	1.3367e-003
57	5.6199e-004
58	-3.9388e-004
59	-1.3975e-003
60	-2.2749e-003
61	-2.9784e-003
62	-3.4998e-003
63	-3.8665e-003
64	-4.1036e-003
65	-4.2329e-003
66	-4.2648e-003
67	-4.2266e-003
68	-4.1492e-003
69	-4.005e-003
70	-3.7797e-003
71	-3.4869e-003
72	-3.1136e-003
73	-2.5752e-003
74	-1.8717e-003
75	-9.787e-004
76	-5.0628e-005
77	9.1632e-004
78	1.7046e-003
79	2.1284e-003
80	2.1818e-003
81	1.8118e-003
82	9.0466e-004
83	-4.3273e-004
84	-2.2134e-003
85	-4.2481e-003
86	-6.4235e-003
87	-8.6938e-003
88	-1.0894e-002
89	0.
90	-1.3063e-002
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-1.0983e-003
99	-2.5671e-003
100	-2.6467e-003
101	-2.5997e-003
102	-2.4655e-003
103	-2.2724e-003
104	-2.081e-003
105	-1.8949e-003
106	-1.7501e-003
107	-1.6055e-003
108	-1.5415e-003
109	-1.4743e-003
110	-1.3781e-003
111	-1.184e-003
112	-9.1847e-004
