Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-1.0139e-002
6	-5.2548e-002
7	-0.12401
8	-0.2202
9	-0.33636
10	-0.46764
11	-0.60927
12	-0.75659
13	-0.90513
14	-1.0506
15	-1.1891
16	-1.3169
17	-1.4307
18	-1.5276
19	-1.605
20	-1.6609
21	-1.6935
22	-1.7019
23	-1.6853
24	-1.6436
25	-1.5771
26	-1.4864
27	-1.3729
28	-1.2382
29	-1.0843
30	-0.91361
31	-0.72878
32	-0.53276
33	-0.3287
34	-0.11991
35	9.0221e-002
36	0.29827
37	0.50082
38	0.69456
39	0.8763
40	1.0431
41	1.1921
42	1.3209
43	1.4275
44	1.51
45	1.5671
46	1.5979
47	1.602
48	1.5792
49	1.5299
50	1.4551
51	1.3561
52	1.2344
53	1.0922
54	0.932
55	0.7564
56	0.56842
57	0.37128
58	0.16834
59	-3.6944e-002
60	-0.24105
61	-0.44047
62	-0.63177
63	-0.81164
64	-0.97692
65	-1.1247
66	-1.2524
67	-1.3575
68	-1.4383
69	-1.493
70	-1.5204
71	-1.5198
72	-1.4908
73	-1.4334
74	-1.3481
75	-1.2358
76	-1.0977
77	-0.93541
78	-0.75073
79	-0.5458
80	-0.32294
81	-8.458e-002
82	0.16675
83	0.42854
84	0.69834
85	0.97387
86	1.2531
87	1.5342
88	1.8161
89	0.
90	2.0978
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-1.0139e-002
99	-5.2548e-002
100	-0.12401
101	-0.2202
102	-0.33636
103	-0.46764
104	-0.60927
105	-0.75659
106	-0.90513
107	-1.0506
108	-1.1891
109	-1.3169
110	-1.4307
111	-1.5276
112	-1.605
113	-1.6609
114	-1.6935
115	-1.7019
116	-1.6853
117	-1.6436
118	-1.5771
119	-1.4864
120	-1.3729
121	-1.2382
122	-1.0843
123	-0.91361
124	-0.72878
125	-0.53276
126	-0.3287
127	-0.11991
128	9.0221e-002
129	0.29827
130	0.50082
131	0.69456
132	0.8763
133	1.0431
134	1.1921
135	1.3209
136	1.4275
137	1.51
138	1.5671
139	1.5979
140	1.602
141	1.5792
142	1.5299
143	1.4551
144	1.3561
145	1.2344
146	1.0922
147	0.932
148	0.7564
