Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-1.0478e-003
6	-7.2484e-003
7	-1.8949e-002
8	-3.607e-002
9	-5.8355e-002
10	-8.5485e-002
11	-0.11711
12	-0.15287
13	-0.19238
14	-0.23529
15	-0.28122
16	-0.3298
17	-0.38068
18	-0.43349
19	-0.48788
20	-0.54351
21	-0.60005
22	-0.65714
23	-0.71448
24	-0.77173
25	-0.8286
26	-0.88476
27	-0.93994
28	-0.99385
29	-1.0462
30	-1.0967
31	-1.1452
32	-1.1913
33	-1.2349
34	-1.2757
35	-1.3135
36	-1.3481
37	-1.3793
38	-1.407
39	-1.431
40	-1.4511
41	-1.4672
42	-1.4792
43	-1.487
44	-1.4904
45	-1.4895
46	-1.4841
47	-1.4742
48	-1.4598
49	-1.4408
50	-1.4172
51	-1.3891
52	-1.3564
53	-1.3192
54	-1.2775
55	-1.2314
56	-1.181
57	-1.1263
58	-1.0674
59	-1.0044
60	-0.93753
61	-0.86677
62	-0.79231
63	-0.71428
64	-0.63283
65	-0.54811
66	-0.46028
67	-0.3695
68	-0.27594
69	-0.17977
70	-8.1177e-002
71	1.9677e-002
72	0.12261
73	0.22745
74	0.33401
75	0.44213
76	0.55164
77	0.66237
78	0.77416
79	0.88686
80	1.0003
81	1.1144
82	1.229
83	1.3439
84	1.4592
85	1.5746
86	1.6901
87	1.8057
88	1.9213
89	0.
90	2.0368
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-1.0478e-003
99	-7.2484e-003
100	-1.8949e-002
101	-3.607e-002
102	-5.8355e-002
103	-8.5485e-002
104	-0.11711
105	-0.15287
106	-0.19238
107	-0.23529
108	-0.28122
109	-0.3298
110	-0.38068
111	-0.43349
112	-0.48788
113	-0.54351
114	-0.60005
115	-0.65714
116	-0.71448
117	-0.77173
118	-0.8286
119	-0.88476
120	-0.93994
121	-0.99385
122	-1.0462
123	-1.0967
124	-1.1452
125	-1.1913
126	-1.2349
127	-1.2757
128	-1.3135
129	-1.3481
130	-1.3793
131	-1.407
132	-1.431
133	-1.4511
134	-1.4672
135	-1.4792
136	-1.487
137	-1.4904
138	-1.4895
139	-1.4841
140	-1.4742
141	-1.4598
