Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.4101e-002
6	-0.10991
7	-0.24283
8	-0.40804
9	-0.59073
10	-0.77684
11	-0.95342
12	-1.1089
13	-1.2333
14	-1.3187
15	-1.3593
16	-1.3516
17	-1.2944
18	-1.1887
19	-1.038
20	-0.84767
21	-0.62492
22	-0.37841
23	-0.11788
24	0.14625
25	0.40338
26	0.64313
27	0.85579
28	1.0327
29	1.1668
30	1.2525
31	1.2865
32	1.2673
33	1.1958
34	1.075
35	0.90981
36	0.70713
37	0.47529
38	0.22384
39	-3.6848e-002
40	-0.29604
41	-0.54307
42	-0.76775
43	-0.96083
44	-1.1144
45	-1.222
46	-1.2794
47	-1.2841
48	-1.236
49	-1.137
50	-0.9912
51	-0.80468
52	-0.58509
53	-0.34148
54	-8.3897e-002
55	0.17704
56	0.43059
57	0.66629
58	0.87443
59	1.0464
60	1.1752
61	1.2553
62	1.2837
63	1.259
64	1.1822
65	1.0566
66	0.88734
67	0.68134
68	0.44715
69	0.19444
70	-6.6305e-002
71	-0.32426
72	-0.56867
73	-0.78927
74	-0.97673
75	-1.123
76	-1.2216
77	-1.2679
78	-1.2592
79	-1.1949
80	-1.0764
81	-0.90706
82	-0.69171
83	-0.43665
84	-0.14912
85	0.16318
86	0.49258
87	0.83208
88	1.1759
89	0.
90	1.5203
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.4101e-002
99	-0.10991
100	-0.24283
101	-0.40804
102	-0.59073
103	-0.77684
104	-0.95342
105	-1.1089
106	-1.2333
107	-1.3187
108	-1.3593
109	-1.3516
110	-1.2944
111	-1.1887
112	-1.038
113	-0.84767
114	-0.62492
115	-0.37841
116	-0.11788
117	0.14625
118	0.40338
119	0.64313
120	0.85579
121	1.0327
122	1.1668
123	1.2525
124	1.2865
125	1.2673
126	1.1958
127	1.075
128	0.90981
129	0.70713
130	0.47529
131	0.22384
132	-3.6848e-002
133	-0.29604
134	-0.54307
135	-0.76774
136	-0.96082
137	-1.1144
138	-1.222
139	-1.2794
140	-1.2841
141	-1.236
142	-1.137
143	-0.9912
144	-0.80468
145	-0.58509
146	-0.34148
147	-8.3899e-002
148	0.17704
